iter	Passed	Remaining
0	148	148692
1	154	77192
2	161	53665
3	169	42177
4	172	34314
5	174	28839
6	175	24920
7	178	22108
8	180	19833
9	182	18033
10	184	16566
11	185	15274
12	186	14163
13	187	13208
14	189	12423
15	190	11705
16	191	11073
17	192	10497
18	193	9984
19	194	9535
20	195	9118
21	196	8735
22	197	8385
23	198	8059
24	198	7760
25	199	7483
26	200	7235
27	201	6999
28	202	6778
29	203	6573
30	204	6377
31	204	6194
32	205	6021
33	206	5862
34	207	5728
35	208	5584
36	209	5446
37	210	5317
38	210	5193
39	211	5076
40	212	4967
41	213	4866
42	214	4765
43	214	4669
44	215	4576
45	216	4488
46	217	4402
47	217	4321
48	218	4250
49	219	4178
50	220	4109
51	221	4040
52	222	3973
53	223	3910
54	223	3848
55	224	3790
56	225	3732
57	226	3676
58	227	3622
59	227	3569
60	228	3518
61	229	3469
62	230	3423
63	231	3381
64	231	3336
65	232	3292
66	233	3251
67	234	3212
68	235	3173
69	235	3135
70	236	3100
71	237	3065
72	238	3029
73	239	2994
74	240	2960
75	240	2927
76	241	2895
77	242	2863
78	248	2897
79	249	2868
80	250	2840
81	251	2813
82	251	2782
83	252	2756
84	253	2729
85	254	2703
86	255	2676
87	256	2658
88	257	2637
89	258	2614
90	259	2591
91	260	2568
92	260	2544
93	261	2521
94	262	2502
95	263	2481
96	264	2460
97	265	2439
98	265	2418
99	266	2398
100	267	2378
101	267	2358
102	268	2342
103	269	2324
104	270	2306
105	271	2288
106	272	2272
107	272	2254
108	273	2237
109	274	2222
110	275	2208
111	276	2192
112	277	2176
113	278	2161
114	279	2147
115	279	2132
116	280	2116
117	281	2104
118	282	2091
119	283	2078
120	284	2065
121	284	2050
122	285	2037
123	286	2024
124	287	2013
125	288	2001
126	289	1988
127	289	1975
128	290	1963
129	291	1950
130	292	1939
131	293	1929
132	294	1918
133	295	1907
134	295	1895
135	296	1884
136	297	1872
137	298	1861
138	298	1850
139	299	1841
140	300	1832
141	301	1820
142	302	1810
143	302	1800
144	303	1790
145	304	1780
146	305	1771
147	306	1763
148	307	1755
149	308	1745
150	308	1736
151	309	1728
152	310	1720
153	313	1720
154	314	1714
155	315	1708
156	316	1701
157	317	1693
158	318	1687
159	320	1681
160	320	1672
161	321	1664
162	322	1655
163	323	1647
164	324	1641
165	325	1633
166	325	1625
167	326	1618
168	327	1610
169	328	1602
170	329	1595
171	329	1588
172	330	1581
173	331	1574
